name	taxonomy_id	taxonomy_lvl	SRR15276518_family_filtered.bracken_num	SRR15276518_family_filtered.bracken_frac	SRR15276519_family_filtered.bracken_num	SRR15276519_family_filtered.bracken_frac	SRR15276520_family_filtered.bracken_num	SRR15276520_family_filtered.bracken_frac	SRR15276521_family_filtered.bracken_num	SRR15276521_family_filtered.bracken_frac	SRR15276522_family_filtered.bracken_num	SRR15276522_family_filtered.bracken_frac	SRR15276523_family_filtered.bracken_num	SRR15276523_family_filtered.bracken_frac	SRR15276524_family_filtered.bracken_num	SRR15276524_family_filtered.bracken_frac	SRR15276525_family_filtered.bracken_num	SRR15276525_family_filtered.bracken_frac	SRR15276526_family_filtered.bracken_num	SRR15276526_family_filtered.bracken_frac	SRR15276527_family_filtered.bracken_num	SRR15276527_family_filtered.bracken_frac	SRR15276528_family_filtered.bracken_num	SRR15276528_family_filtered.bracken_frac	SRR15276529_family_filtered.bracken_num	SRR15276529_family_filtered.bracken_frac	SRR15276530_family_filtered.bracken_num	SRR15276530_family_filtered.bracken_frac	SRR15276531_family_filtered.bracken_num	SRR15276531_family_filtered.bracken_frac	SRR15276532_family_filtered.bracken_num	SRR15276532_family_filtered.bracken_frac	SRR15276533_family_filtered.bracken_num	SRR15276533_family_filtered.bracken_frac	SRR15276534_family_filtered.bracken_num	SRR15276534_family_filtered.bracken_frac	SRR15276535_family_filtered.bracken_num	SRR15276535_family_filtered.bracken_frac	SRR15276536_family_filtered.bracken_num	SRR15276536_family_filtered.bracken_frac	SRR15276537_family_filtered.bracken_num	SRR15276537_family_filtered.bracken_frac	SRR15276538_family_filtered.bracken_num	SRR15276538_family_filtered.bracken_frac	SRR15276539_family_filtered.bracken_num	SRR15276539_family_filtered.bracken_frac	SRR15276540_family_filtered.bracken_num	SRR15276540_family_filtered.bracken_frac	SRR15276541_family_filtered.bracken_num	SRR15276541_family_filtered.bracken_frac	SRR15276542_family_filtered.bracken_num	SRR15276542_family_filtered.bracken_frac	SRR15276543_family_filtered.bracken_num	SRR15276543_family_filtered.bracken_frac	SRR15276544_family_filtered.bracken_num	SRR15276544_family_filtered.bracken_frac	SRR15276545_family_filtered.bracken_num	SRR15276545_family_filtered.bracken_frac	SRR15276546_family_filtered.bracken_num	SRR15276546_family_filtered.bracken_frac	SRR15276547_family_filtered.bracken_num	SRR15276547_family_filtered.bracken_frac
Moraxellaceae	468	F	0	0.00000	2401	0.00023	0	0.00000	1931	0.00024	0	0.00000	1298	0.00024	1159	0.00023	1094	0.00086	0	0.00000	2223	0.00024	1119	0.00084	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1460	0.00044	1518	0.00023	0	0.00000	0	0.00000	0	0.00000	1340	0.00026	0	0.00000	0	0.00000	0	0.00000	1590	0.00022	1089	0.00046	1301	0.00025	0	0.00000	1056	0.00026
Paenibacillaceae	186822	F	0	0.00000	2241	0.00021	2083	0.00055	1836	0.00022	0	0.00000	0	0.00000	1101	0.00022	0	0.00000	0	0.00000	2034	0.00022	0	0.00000	1101	0.00026	0	0.00000	0	0.00000	1485	0.00024	0	0.00000	2214	0.00067	1506	0.00023	0	0.00000	0	0.00000	0	0.00000	1139	0.00022	0	0.00000	0	0.00000	0	0.00000	1373	0.00019	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptococcaceae	1300	F	0	0.00000	2196	0.00021	0	0.00000	1720	0.00021	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1927	0.00021	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1059	0.00032	1649	0.00025	0	0.00000	0	0.00000	1131	0.00020	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1307	0.00018	1068	0.00045	1104	0.00022	0	0.00000	0	0.00000
Xanthomonadaceae	32033	F	0	0.00000	2147	0.00020	5867	0.00154	1558	0.00019	0	0.00000	1077	0.00020	1382	0.00027	1535	0.00120	1887	0.00102	2022	0.00022	1292	0.00097	3752	0.00087	0	0.00000	1642	0.00090	8486	0.00136	1397	0.00091	4111	0.00125	1702	0.00026	0	0.00000	1626	0.00063	1438	0.00026	1806	0.00035	0	0.00000	0	0.00000	0	0.00000	1481	0.00020	0	0.00000	1095	0.00021	0	0.00000	1359	0.00033
Sphingobacteriaceae	84566	F	0	0.00000	1790	0.00017	0	0.00000	1477	0.00018	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1581	0.00017	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1166	0.00035	1334	0.00020	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1404	0.00019	0	0.00000	1083	0.00021	0	0.00000	0	0.00000
Burkholderiaceae	119060	F	0	0.00000	1789	0.00017	13579	0.00356	1737	0.00021	0	0.00000	0	0.00000	1596	0.00032	2358	0.00185	3520	0.00189	1879	0.00021	1603	0.00120	7990	0.00186	1468	0.00078	3215	0.00176	21759	0.00348	2756	0.00179	8994	0.00274	1839	0.00028	1439	0.00034	2999	0.00115	1532	0.00028	2955	0.00058	1227	0.00145	0	0.00000	0	0.00000	1131	0.00015	1081	0.00046	1081	0.00021	0	0.00000	0	0.00000
Lachnospiraceae	186803	F	0	0.00000	1610	0.00015	0	0.00000	1257	0.00015	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1284	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1105	0.00034	1444	0.00022	0	0.00000	0	0.00000	1050	0.00019	1229	0.00024	0	0.00000	0	0.00000	0	0.00000	1127	0.00015	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Arcobacteraceae	2808963	F	0	0.00000	1566	0.00015	0	0.00000	1311	0.00016	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1456	0.00016	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1049	0.00016	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Morganellaceae	1903414	F	0	0.00000	1550	0.00015	1199	0.00031	1673	0.00020	0	0.00000	1513	0.00028	1660	0.00033	1189	0.00093	0	0.00000	1282	0.00014	1507	0.00113	1969	0.00046	0	0.00000	0	0.00000	1611	0.00026	0	0.00000	1521	0.00046	3808	0.00058	1329	0.00032	1360	0.00052	10171	0.00184	1454	0.00028	1439	0.00170	3829	0.00143	0	0.00000	2675	0.00036	1372	0.00058	3801	0.00074	1762	0.00188	2055	0.00051
Listeriaceae	186820	F	0	0.00000	1434	0.00014	0	0.00000	0	0.00000	3423	0.00115	2399	0.00045	1062	0.00021	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3421	0.00080	1847	0.00098	1590	0.00087	3506	0.00056	1166	0.00076	1476	0.00045	5421	0.00083	5029	0.00120	2422	0.00093	5437	0.00098	0	0.00000	0	0.00000	1726	0.00064	1710	0.00113	2511	0.00034	2557	0.00108	3201	0.00063	0	0.00000	1775	0.00044
