name	taxonomy_id	taxonomy_lvl	SRR15276518_genus_filtered.bracken_num	SRR15276518_genus_filtered.bracken_frac	SRR15276519_genus_filtered.bracken_num	SRR15276519_genus_filtered.bracken_frac	SRR15276520_genus_filtered.bracken_num	SRR15276520_genus_filtered.bracken_frac	SRR15276521_genus_filtered.bracken_num	SRR15276521_genus_filtered.bracken_frac	SRR15276522_genus_filtered.bracken_num	SRR15276522_genus_filtered.bracken_frac	SRR15276523_genus_filtered.bracken_num	SRR15276523_genus_filtered.bracken_frac	SRR15276524_genus_filtered.bracken_num	SRR15276524_genus_filtered.bracken_frac	SRR15276525_genus_filtered.bracken_num	SRR15276525_genus_filtered.bracken_frac	SRR15276526_genus_filtered.bracken_num	SRR15276526_genus_filtered.bracken_frac	SRR15276527_genus_filtered.bracken_num	SRR15276527_genus_filtered.bracken_frac	SRR15276528_genus_filtered.bracken_num	SRR15276528_genus_filtered.bracken_frac	SRR15276529_genus_filtered.bracken_num	SRR15276529_genus_filtered.bracken_frac	SRR15276530_genus_filtered.bracken_num	SRR15276530_genus_filtered.bracken_frac	SRR15276531_genus_filtered.bracken_num	SRR15276531_genus_filtered.bracken_frac	SRR15276532_genus_filtered.bracken_num	SRR15276532_genus_filtered.bracken_frac	SRR15276533_genus_filtered.bracken_num	SRR15276533_genus_filtered.bracken_frac	SRR15276534_genus_filtered.bracken_num	SRR15276534_genus_filtered.bracken_frac	SRR15276535_genus_filtered.bracken_num	SRR15276535_genus_filtered.bracken_frac	SRR15276536_genus_filtered.bracken_num	SRR15276536_genus_filtered.bracken_frac	SRR15276537_genus_filtered.bracken_num	SRR15276537_genus_filtered.bracken_frac	SRR15276538_genus_filtered.bracken_num	SRR15276538_genus_filtered.bracken_frac	SRR15276539_genus_filtered.bracken_num	SRR15276539_genus_filtered.bracken_frac	SRR15276540_genus_filtered.bracken_num	SRR15276540_genus_filtered.bracken_frac	SRR15276541_genus_filtered.bracken_num	SRR15276541_genus_filtered.bracken_frac	SRR15276542_genus_filtered.bracken_num	SRR15276542_genus_filtered.bracken_frac	SRR15276543_genus_filtered.bracken_num	SRR15276543_genus_filtered.bracken_frac	SRR15276544_genus_filtered.bracken_num	SRR15276544_genus_filtered.bracken_frac	SRR15276545_genus_filtered.bracken_num	SRR15276545_genus_filtered.bracken_frac	SRR15276546_genus_filtered.bracken_num	SRR15276546_genus_filtered.bracken_frac	SRR15276547_genus_filtered.bracken_num	SRR15276547_genus_filtered.bracken_frac
Erwinia	551	G	0	0.00000	1750	0.00017	2145	0.00058	2562	0.00032	1792	0.00061	3635	0.00068	4157	0.00083	2326	0.00188	0	0.00000	1137	0.00013	3671	0.00282	5440	0.00129	0	0.00000	0	0.00000	4692	0.00076	1839	0.00122	2850	0.00089	11360	0.00175	3824	0.00092	3133	0.00122	35700	0.00649	2821	0.00056	4089	0.00497	12632	0.00475	1331	0.00089	7249	0.00099	3313	0.00141	12301	0.00241	5109	0.00555	5571	0.00138
Streptococcus	1301	G	0	0.00000	1507	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1228	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Listeria	1637	G	0	0.00000	1423	0.00014	0	0.00000	0	0.00000	3484	0.00118	2401	0.00045	1059	0.00021	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3456	0.00082	1891	0.00101	1613	0.00090	3569	0.00058	1202	0.00080	1487	0.00047	5451	0.00084	5073	0.00122	2478	0.00097	5445	0.00099	0	0.00000	0	0.00000	1731	0.00065	1740	0.00116	2503	0.00034	2587	0.00110	3207	0.00063	0	0.00000	1761	0.00044
Sodalis	84565	G	0	0.00000	1412	0.00013	1581	0.00043	2376	0.00029	1197	0.00041	3458	0.00065	4011	0.00080	1786	0.00145	0	0.00000	0	0.00000	3312	0.00254	5021	0.00119	0	0.00000	0	0.00000	4245	0.00069	1288	0.00086	2516	0.00079	11599	0.00179	3664	0.00088	2777	0.00109	38478	0.00700	2591	0.00051	3955	0.00480	12639	0.00476	0	0.00000	7355	0.00100	3000	0.00128	12372	0.00243	4870	0.00529	5373	0.00133
Campylobacter	194	G	0	0.00000	1374	0.00013	0	0.00000	1211	0.00015	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1275	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Microbacterium	33882	G	0	0.00000	1150	0.00011	37980	0.01022	0	0.00000	1040	0.00035	0	0.00000	2338	0.00047	5253	0.00426	7951	0.00437	1012	0.00011	2816	0.00216	22730	0.00539	4135	0.00222	9700	0.00542	65007	0.01060	7591	0.00505	23351	0.00731	2324	0.00036	3477	0.00084	8539	0.00334	1331	0.00024	2900	0.00057	3215	0.00390	0	0.00000	1400	0.00093	0	0.00000	2143	0.00091	0	0.00000	0	0.00000	0	0.00000
Polaribacter	52959	G	0	0.00000	1088	0.00010	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1113	0.00012	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pantoea	53335	G	0	0.00000	1058	0.00010	0	0.00000	1280	0.00016	0	0.00000	1724	0.00032	2019	0.00040	0	0.00000	0	0.00000	0	0.00000	1613	0.00124	2509	0.00059	0	0.00000	0	0.00000	2264	0.00037	0	0.00000	1487	0.00047	5587	0.00086	1706	0.00041	1411	0.00055	17898	0.00326	1326	0.00026	1811	0.00220	5752	0.00216	0	0.00000	3489	0.00048	1495	0.00064	5797	0.00114	2318	0.00252	2619	0.00065
Corynebacterium	1716	G	0	0.00000	0	0.00000	29596	0.00796	0	0.00000	0	0.00000	0	0.00000	1721	0.00034	3910	0.00317	5925	0.00326	0	0.00000	2248	0.00173	16123	0.00382	2560	0.00137	6246	0.00349	44665	0.00728	4982	0.00331	16740	0.00524	1871	0.00029	2653	0.00064	5618	0.00220	0	0.00000	0	0.00000	2090	0.00254	0	0.00000	0	0.00000	0	0.00000	1709	0.00073	0	0.00000	0	0.00000	0	0.00000
Amycolatopsis	1813	G	0	0.00000	0	0.00000	24353	0.00655	0	0.00000	0	0.00000	0	0.00000	1637	0.00033	3709	0.00300	5522	0.00303	0	0.00000	2010	0.00154	13985	0.00332	2229	0.00119	5381	0.00301	38305	0.00624	4324	0.00288	14438	0.00452	1675	0.00026	2071	0.00050	4895	0.00191	0	0.00000	0	0.00000	1872	0.00227	0	0.00000	0	0.00000	0	0.00000	1453	0.00062	0	0.00000	0	0.00000	0	0.00000
